,Identifier,TOR0
681,CUHXOS,177.2
682,CUJVUZ,0.08
683,CUJWAG,3.45
684,CUNZEQ,152.46
685,CUNZEQ,148.32
686,CUTRUG,178.38
687,CUWSAO,179.41
688,CUWSAO,171.61
689,CYPROT10,178.8
690,CYTMNQ,177.32
691,CYTMNQ,177.42
692,DAHLED,178.87
693,DAHLED,171.9
694,DAHLED,171.62
695,DAHLED,178.79
696,DAJBOF,171.4
697,DAJBOF,176.09
698,DAJBOF,175.92
699,DAJBOF,179.12
700,DAJVEQ,179.25
701,DAJVEQ,177.49
702,DAJVEQ,0.12
703,DAJVEQ,0.5
704,DAKXIX,178.56
705,DAKXIX,179.08
706,DAMSIU,179.42
707,DAQMUD,175.34
708,DAQMUD,179.96
709,DAQNAK,178.28
710,DARWOJ,174.91
711,DATWIF,177.36
712,DATWIF,176.78
713,DAXDOD,172.33
714,DAYWUY,179.49
715,DAYXAF,179.42
716,DAYXEJ,179.04
717,DAYXIN,179.56
718,DAYXOT,179.44
719,DAYXUZ,179.72
720,DAYYAG,179.68
721,DAYYEK,178.46
722,DAZPID,178.39
723,DAZPID,1.32
724,DCBFRO03,179.85
725,DCBFRO03,179.96
726,DCBFRO04,179.82
727,DCBFRO04,179.97
728,DCBUDO,179.53
729,DCBUDO,179.62
730,DCDHNQ,178.87
731,DCDHNQ,179.94
732,DCDHNQ01,178.36
733,DCDHNQ01,176.71
734,DCFUMN,0.48
735,DCLBQN,179.85
736,DCLBQN,177.69
737,DCLBQN01,179.25
738,DCLBQN01,178.01
739,DCLBQN02,178.76
740,DCLBQN02,177.78
741,DCLBQN02,179.07
742,DCLBQN02,179.62
743,DCLBQN03,179.27
744,DCLBQN03,178.37
745,DCLBZQ20,178.18
746,DCLNAP,175.81
747,DCLNAP,177.99
748,DCLNAP,168.16
749,DCLNAP,172.41
750,DCLNAP01,179.25
751,DCLNAP01,179.29
752,DCLNAP01,179.27
753,DCLNAP01,178.94
754,DCLNAP02,179.17
755,DCLNAP02,178.43
756,DCLNAP02,179.61
757,DCLNAP02,177.43
758,DCPYZO,179.44
759,DCPYZO,178.44
760,DCPYZO,177.78
761,DCPYZO,179.92
762,DCPYZO01,179.03
763,DCPYZO01,178.36
764,DCPYZO01,177.36
765,DCPYZO01,179.91
766,DDQCHD10,175.68
767,DDQCHD10,175.98
768,DEBVEN,178.56
769,DECANN10,179.38
770,DEFKII,176.21
771,DEFKII,175.32
772,DEFKII,177.23
773,DEFKII,173.32
774,DEFSOW,174.17
775,DEFSOW,177.85
776,DEFSOW,176.85
777,DEFSOW,174.0
778,DELNIR,0.13
779,DENQAO,179.85
780,DENQAO,179.72
781,DENQAO,177.38
782,DENQAO,179.35
783,DESDAG,179.31
784,DESDAG,178.45
785,DESDAG,178.24
786,DESDAG,177.42
787,DESDEK,178.11
788,DESDEK,179.02
789,DESDEK,179.95
790,DESDEK,178.89
791,DESDIO,177.88
792,DESDIO,178.35
793,DESDIO,179.11
794,DESDIO,178.94
795,DESDIO01,178.1
796,DESDIO01,178.33
797,DESDIO01,178.83
798,DESDIO01,178.71
799,DESKER,178.61
800,DESKER,179.68
801,DESKER01,178.25
802,DESKER01,177.93
803,DEVSIH,178.84
804,DEXVUX,179.56
805,DEXVUX,179.94
806,DEZXEL,6.42
807,DEZXIP,15.19
808,DEZXIP,11.74
809,DIDQUD,180.0
810,DIDRAK,179.99
811,DIELDR,171.67
812,DIELDR,166.23
813,DIELDR,168.29
814,DIELDR,166.3
815,DIELDR,177.44
816,DIELDR,175.71
817,DIENPH,175.48
818,DIENPH,3.38
819,DIFLUB,7.23
820,DIGSUJ,5.06
821,DIGSUJ,3.29
822,DIHPIV,175.71
823,DIQKET,170.97
824,DIQKET,171.94
825,DIQKET,172.53
826,DIQKET,172.59
827,DISWAF,177.87
828,DISWAF,177.69
829,DISWIN,179.52
830,DISWIN,178.26
831,DISXEK,177.91
832,DISXEK,175.76
833,DISXIO,179.26
834,DISXIO,179.8
835,DIYMUV,93.58
836,DIYMUV,93.58
837,DIYMUV,100.2
838,DIYMUV,103.57
839,DIYMUV,103.57
840,DIYMUV,105.53
841,DIYMUV,99.09
842,DIYMUV,116.03
843,DIYMUV,116.03
844,DIYMUV,93.94
845,DIYMUV,93.94
846,DIYMUV,96.24
847,DIYMUV,107.17
848,DIYMUV,107.17
849,DIYMUV,87.5
850,DIYMUV,87.5
851,DIYNAC,97.2
852,DIYNAC,97.2
853,DIYNAC,94.28
854,DIYNAC,94.28
855,DIYNAC,107.32
856,DIYNAC,107.32
857,DIYNAC,87.07
858,DIYNAC,87.07
859,DIYNEG,99.09
860,DIYNEG,99.09
861,DIYNEG,92.34
862,DIYNEG,92.34
863,DIYNEG,118.54
864,DIYNEG,118.54
865,DIYNEG,84.17
866,DIYNEG,84.17
867,DIYNEG,91.43
868,DIYNEG,91.43
869,DIYNEG,92.78
870,DIYNEG,92.78
871,DIYNEG,93.42
872,DIYNEG,93.42
873,DIYNEG,75.17
874,DIYNEG,75.17
875,DIYNEG,111.22
876,DIYNEG,111.22
877,DIYNEG,91.58
878,DIYNEG,91.58
879,DIYNEG,72.97
880,DIYNEG,72.97
881,DIYNEG,110.38
882,DIYNEG,110.38
883,DOBHEH,174.04
884,DOBHEH,4.68
885,DOBHEH,171.97
886,DOBHEH,5.4
887,DOCGAF,175.09
888,DOCGAF,176.78
889,DOJKIY,179.69
890,DOJKIY,178.84
891,DOJZUZ,179.99
892,DOJZUZ,176.75
893,DOJZUZ,176.43
894,DOKQUQ,171.0
895,DOPZAL,174.42
896,DOVMIK,178.63
897,DOVMIK,174.93
898,DOVMIK,176.54
899,DOVMIK,179.17
900,DOVMUW,177.22
901,DOVMUW,177.42
902,DOVPIN,179.27
903,DOVPIN,179.2
904,DOVVUG,179.46
905,DOVVUG,176.15
906,DOVWIV,176.06
907,DOVWIV,178.72
908,DUCVOM,0.28
909,DUDQUQ,177.34
910,DUDQUQ,178.34
911,DUJBOA,180.0
912,DUJBOA,180.0
913,DUJCER,178.15
914,DUJCER,179.5
915,DUJRAC,1.71
916,DULJID10,175.32
917,DULJID10,173.01
918,DUMQOT,179.72
919,DUMQOT,169.83
920,DUNXEQ,179.41
921,DUNXEQ,178.14
922,DURZIA,177.9
923,DURZIA,176.19
924,DUTBOK,177.84
925,DUZSIA,175.08
926,DUZSIA,178.0
927,DUZSOG,177.97
928,DUZSOG,3.53
929,DUZSOG,176.07
930,DUZSOG,5.98
931,DUZSUM,176.34
932,DUZSUM,3.23
933,DUZTAT,176.42
934,DUZTAT,175.1
935,DUZTEX,172.06
936,DUZTEX,3.64
937,DUZTIB,175.18
938,DUZTIB,178.19
939,EABRUU,0.21
940,EABRUU,175.62
941,EBAWAG,178.49
942,ECAXIP,179.1
943,ECAXIP,178.63
944,ECHNYL,172.22
945,ECIBEZ,178.42
946,ECMALA,178.47
947,ECUBAH,175.42
948,ECUBAH,179.25
949,ECUBAH,171.86
950,ECUBAH,178.75
951,ECUBAH,175.37
952,ECUBAH,178.22
953,ECUBAH,12.79
954,ECUBAH,20.29
955,EDEZAO,3.24
956,EDIZEW,24.51
957,EDIZEW,168.23
958,EFAVUE,167.84
959,EFEVAN,175.28
960,EFEVAN,179.58
961,EGOSID,177.31
962,EGOSID,3.97
963,EGOSOJ,174.65
964,EGOSOJ,7.07
965,EHESEP,177.57
966,EHESEP,177.92
967,EHINUG,178.56
968,EHINUG,0.38
969,EHODUB,3.33
970,EHOGEO,178.28
971,EHOGEO,3.39
972,EHOGEO,178.53
973,EHOGEO,3.6
974,EHUCAL,178.13
975,EHUCAL,176.94
976,EHUREF,174.31
977,EHUREF,175.26
978,EJOMIB,179.95
979,EJOMIB,179.1
980,EJOMIB01,179.75
981,EJOMIB01,179.57
982,EJOWOP,177.57
983,EJOWOP,179.21
984,EJOWOP01,177.66
985,EJOWOP01,179.13
986,EJOWUV,179.34
987,EKOQAW,1.08
988,EKOQAW,0.99
989,EKUQOQ,4.41
990,EKUQOQ,3.12
991,ELAGUV,177.33
992,ELAGUV,179.18
993,ELALEJ,176.61
994,ELALEJ,177.37
995,ELALEJ,177.42
996,ELALEJ,179.06
997,ELALEJ,177.71
998,ELALEJ,178.91
999,ELEDEE,178.09
1000,ELEDEE,179.35
1001,ELEDEE,179.33
1002,ELEDEE,178.71
1003,ELIBAC,178.98
1004,ELIDAG,177.61
1005,ELIDAG,178.26
1006,ELUYIV,174.31
1007,ELUYIV,168.47
1008,ELUYIV,166.82
1009,ELUYIV,177.24
1010,EMEFEH,154.74
1011,EMEFEH,31.53
1012,ENDRIN,179.64
1013,ENDRIN,179.19
1014,ENSULF,177.91
1015,ENSULF01,179.36
1016,ENSULF01,178.85
1017,ENSULF02,178.52
1018,ENSULF03,175.37
1019,ENSULF03,175.19
1020,ENSULF03,174.54
1021,ENSULF03,174.75
1022,EPUSIT,179.75
1023,EPXEPT,8.22
1024,EQOLAX,4.34
1025,EQOQUY,179.74
1026,EQOQUY,178.38
1027,EQOQUY,9.9
1028,EQOQUY,4.22
1029,EQOQUY,179.71
1030,EQOQUY,178.13
1031,EQUTIU,176.46
1032,ERAQET,174.53
1033,ERAQET,178.0
1034,ERERIC,178.74
1035,ERERIC,175.11
1036,ERERIC,173.9
1037,ERERIC,176.95
1038,ERUBID,179.88
1039,ESODOF,3.27
1040,ESODOH,178.23
1041,ESODOH,177.39
1042,ESODOH,179.39
1043,ESODOH,178.52
1044,ESODUN,178.4
1045,ESODUN,178.91
1046,ESODUN,179.86
1047,ESODUN,179.98
1048,ESUGEG,178.11
1049,ESUGEG,174.29
1050,ESUGEG,177.81
1051,ESUGEG,178.44
1052,ESUGEG,176.94
1053,ESUGEG,177.58
1054,ESUGIK,178.18
1055,ESUGIK,179.27
1056,ESUGIK,178.28
1057,ESUGIK,177.36
1058,ESUGIK,177.72
1059,ESUGIK,176.13
1060,ESUGIK,177.51
1061,ESUGIK,172.13
1062,ESUGUW,172.5
1063,ESUGUW,179.9
1064,ETUBEC,1.41
1065,ETUBIG,2.58
1066,ETUWEX,172.9
1067,ETUWIB,178.68
1068,EVAKAP,177.02
1069,EVAKOD,178.11
1070,EVAKUJ,172.76
1071,EVEDIT,172.92
1072,EVEDIT,173.91
